Ref_Name,fasttext_code,NLLB_Code,Duplicate_Flag,Missing_Flag
Tosk Albanian,als,als_Latn,FALSE,FALSE
Egyptian Arabic,arz,arz_Arab,FALSE,FALSE
Asturian,ast,ast_Latn,FALSE,FALSE
South Azerbaijani,azb,azb_Arab,FALSE,FALSE
Cebuano,ceb,ceb_Latn,FALSE,FALSE
Central Kurdish,ckb,ckb_Arab,FALSE,FALSE
Iloko,ilo,ilo_Latn,FALSE,FALSE
Lombard,lmo,lmo_Latn,FALSE,FALSE
Maithili,mai,mai_Deva,FALSE,FALSE
Minangkabau,min,min_Latn,FALSE,FALSE
Sicilian,scn,scn_Latn,FALSE,FALSE
Venetian,vec,vec_Latn,FALSE,FALSE
Waray (Philippines),war,war_Latn,FALSE,FALSE
Yue Chinese,yue,yue_Hant,FALSE,FALSE
Afrikaans,af,afr_Latn,FALSE,FALSE
Amharic,am,amh_Ethi,FALSE,FALSE
Assamese,as,asm_Beng,FALSE,FALSE
Bashkir,ba,bak_Cyrl,FALSE,FALSE
Belarusian,be,bel_Cyrl,FALSE,FALSE
Bengali,bn,ben_Beng,FALSE,FALSE
Tibetan,bo,bod_Tibt,FALSE,FALSE
Bosnian,bs,bos_Latn,FALSE,FALSE
Bulgarian,bg,bul_Cyrl,FALSE,FALSE
Catalan,ca,cat_Latn,FALSE,FALSE
Czech,cs,ces_Latn,FALSE,FALSE
Welsh,cy,cym_Latn,FALSE,FALSE
Danish,da,dan_Latn,FALSE,FALSE
German,de,deu_Latn,FALSE,FALSE
Modern Greek (1453-),el,ell_Grek,FALSE,FALSE
English,en,eng_Latn,FALSE,FALSE
Esperanto,eo,epo_Latn,FALSE,FALSE
Estonian,et,est_Latn,FALSE,FALSE
Basque,eu,eus_Latn,FALSE,FALSE
Finnish,fi,fin_Latn,FALSE,FALSE
French,fr,fra_Latn,FALSE,FALSE
Scottish Gaelic,gd,gla_Latn,FALSE,FALSE
Irish,ga,gle_Latn,FALSE,FALSE
Galician,gl,glg_Latn,FALSE,FALSE
Guarani,gn,grn_Latn,FALSE,FALSE
Gujarati,gu,guj_Gujr,FALSE,FALSE
Haitian,ht,hat_Latn,FALSE,FALSE
Hebrew,he,heb_Hebr,FALSE,FALSE
Hindi,hi,hin_Deva,FALSE,FALSE
