language,avg_semantic_similarity,avg_comet_adequacy
als,0.9338545203208923,0.5721453428268433
arz,0.8975349068641663,0.7189340591430664
ast,0.25223982334136963,0.18703269958496094
azb,0.5782851576805115,0.35943862795829773
ceb,0.9391118288040161,0.4607069790363312
ckb,0.36204686760902405,0.725030779838562
ilo,0.7755005359649658,0.3707338869571686
lmo,0.9271450042724609,0.3769381046295166
mai,0.8608586192131042,0.6315140724182129
min,0.8595582842826843,0.4142133891582489
scn,0.9896371960639954,0.3752072751522064
vec,0.9337285757064819,0.513970673084259
war,0.9377628564834595,0.47434931993484497
yue,0.8788713812828064,0.765587568283081
af,0.9606374502182007,0.8289262056350708
am,0.9282407760620117,0.8338373899459839
as,0.8254359364509583,0.8055626153945923
ba,0.6202110052108765,0.7952165603637695
be,0.8919036388397217,0.5393586754798889
bn,0.8999276757240295,0.8499532341957092
bo,0.8333101868629456,0.2708084285259247
bs,0.9612576365470886,0.7824758291244507
bg,0.9096037149429321,0.7155416011810303
ca,0.9587433338165283,0.732774019241333
cs,0.94375079870224,0.8375972509384155
cy,0.9209253191947937,0.7702673077583313
da,0.9641896486282349,0.8206257820129395
de,0.9395956993103027,0.8319515585899353
el,0.9411196708679199,0.7886016368865967
eo,0.9526606202125549,0.8265966176986694
et,0.936846137046814,0.7314847707748413
eu,0.9501991271972656,0.8419980406761169
fi,0.9435062408447266,0.7480186223983765
gd,0.9244270920753479,0.5675621032714844
ga,0.9381502866744995,0.6032102108001709
gl,0.9343538880348206,0.5661551356315613
gn,0.6688238978385925,0.31590715050697327
gu,0.9353048205375671,0.8551664352416992
ht,0.9162129759788513,0.39151349663734436
he,0.9215853810310364,0.7786596417427063
hr,0.9597102403640747,0.7969005703926086
hu,0.9193975925445557,0.701961874961853
hy,0.8977450132369995,0.8316507935523987
id,0.9475079774856567,0.7310019731521606
is,0.918266773223877,0.6866926550865173
it,0.9601740837097168,0.8028745651245117
jv,0.9484528303146362,0.560783863067627
ja,0.9303734302520752,0.8285423517227173
kn,0.9491178393363953,0.8247884511947632
ka,0.9190130233764648,0.8644007444381714
kk,0.9215701818466187,0.8242495656013489
km,0.8590013980865479,0.5731114745140076
ky,0.9029881954193115,0.7467710971832275
lo,0.9102284908294678,0.8275565505027771
li,0.9479265809059143,0.5706850290298462
lt,0.9434437155723572,0.7238596677780151
lb,0.9377005100250244,0.3702991306781769
ml,0.9145588874816895,0.8553416132926941
mr,0.9465388655662537,0.6703636646270752
mk,0.9229588508605957,0.6512099504470825
mt,0.925528347492218,0.7303793430328369
my,0.906769871711731,0.8604192137718201
nl,0.9584558010101318,0.8024113178253174
nn,0.9417725801467896,0.7632513046264648
oc,0.9279230833053589,0.5456874966621399
pa,0.9546886682510376,0.7889125347137451
pl,0.9391601085662842,0.6979092955589294
pt,0.9445368051528931,0.665658712387085
ro,0.8991053104400635,0.6637346148490906
ru,0.8236662745475769,0.5010784268379211
sa,0.6084375977516174,0.5830440521240234
si,0.9278170466423035,0.8238001465797424
sk,0.946212112903595,0.7947518825531006
sl,0.9500548243522644,0.7548260688781738
sd,0.8280481100082397,0.7513769865036011
so,0.9264829754829407,0.5577229261398315
sc,0.9023482799530029,0.5151252150535583
sr,0.9358917474746704,0.6229240894317627
su,0.9387679696083069,0.5370967984199524
sv,0.9544686079025269,0.7943599224090576
ta,0.9360529780387878,0.8530870676040649
tt,0.9181953072547913,0.7282863259315491
te,0.9309970140457153,0.7484826445579529
tg,0.8999339938163757,0.7062637805938721
tl,0.9502043724060059,0.8218226432800293
th,0.9124446511268616,0.6328825950622559
tk,0.9299123287200928,0.5062696933746338
tr,0.9129733443260193,0.7603240013122559
ug,0.9089697003364563,0.7790431380271912
uk,0.8847559094429016,0.6361642479896545
ur,0.9378907084465027,0.8044183850288391
vi,0.836511492729187,0.8068721294403076
yo,0.9420220255851746,0.2906090021133423
sw,0.9447585344314575,0.6342792510986328
yi,0.9081400036811829,0.7394570112228394
