language,avg_semantic_similarity,avg_comet_adequacy
als,0.8703346848487854,0.79136061668396
arz,0.9175401926040649,0.7416986227035522
ast,0.8452141284942627,0.6472926735877991
azb,0.6278802156448364,0.31782084703445435
ceb,0.7879310846328735,0.6350273489952087
ckb,0.5655720829963684,0.7855467796325684
ilo,0.7569219470024109,0.3021750748157501
lmo,0.6601841449737549,0.26050183176994324
mai,0.7994129061698914,0.5809170007705688
min,0.834369421005249,0.6013928651809692
scn,0.8737599849700928,0.4570198655128479
vec,0.7159596681594849,0.3778766691684723
war,0.7583193778991699,0.5515867471694946
yue,0.8234268426895142,0.5028231143951416
af,0.8172308802604675,0.5161474943161011
am,0.9193154573440552,0.8471432328224182
as,0.7287209630012512,0.731297492980957
ba,0.6873887181282043,0.6958855986595154
be,0.7448234558105469,0.6133995652198792
bn,0.7914566397666931,0.8404115438461304
bo,0.7781344056129456,0.18708959221839905
bs,0.8987975716590881,0.7107524275779724
bg,0.8968813419342041,0.7884540557861328
ca,0.9016375541687012,0.7539628148078918
cs,0.7847871780395508,0.6193280816078186
cy,0.7506576180458069,0.6692677140235901
da,0.9473974704742432,0.789315938949585
de,0.7770885229110718,0.5423526167869568
el,0.8478524684906006,0.7505686283111572
eo,0.92400723695755,0.7872095704078674
et,0.8556725382804871,0.6746821999549866
eu,0.7436584234237671,0.6940080523490906
fi,0.7783105969429016,0.672835111618042
gd,0.7359280586242676,0.32898634672164917
ga,0.777660608291626,0.7764101028442383
gl,0.7304031252861023,0.6123498678207397
gn,0.5697606205940247,0.26811712980270386
gu,0.8966184258460999,0.8931597471237183
ht,0.9297261238098145,0.511128842830658
he,0.7922269701957703,0.6920976042747498
hr,0.8672234416007996,0.662948489189148
hu,0.9070360064506531,0.8446831703186035
hy,0.7582749724388123,0.6098310351371765
id,0.8737629652023315,0.7358492612838745
is,0.8525384664535522,0.8022612929344177
it,0.9232293963432312,0.7874005436897278
jv,0.8551997542381287,0.5747765302658081
ja,0.8931720852851868,0.6058244705200195
kn,0.9191216230392456,0.8905162215232849
ka,0.9250733852386475,0.8305457830429077
kk,0.7724685668945312,0.7311203479766846
km,0.9150353074073792,0.8544988632202148
ky,0.8841703534126282,0.7021442651748657
lo,0.8993964195251465,0.7798478603363037
li,0.719106912612915,0.4660632908344269
lt,0.7519320845603943,0.5702067613601685
lb,0.8142096400260925,0.25815507769584656
ml,0.9208435416221619,0.8521569967269897
mr,0.868947446346283,0.7383096218109131
mk,0.8649519085884094,0.8324800729751587
mt,0.7117812037467957,0.2817497253417969
my,0.8872151970863342,0.8462129235267639
nl,0.8731197714805603,0.7362819910049438
nn,0.898550808429718,0.8170734643936157
oc,0.6954678893089294,0.5461888909339905
pa,0.8543763160705566,0.8649020791053772
pl,0.7690783739089966,0.611206591129303
pt,0.8608432412147522,0.7569876909255981
ro,0.8400731086730957,0.7316834926605225
ru,0.8145526051521301,0.6291385889053345
sa,0.7340570688247681,0.5790250301361084
si,0.9226730465888977,0.876383900642395
sk,0.7514138221740723,0.6209590435028076
sl,0.7801700830459595,0.6777722239494324
sd,0.7410427331924438,0.6281059980392456
so,0.8622636795043945,0.6446627378463745
sc,0.7665966749191284,0.4312291145324707
sr,0.77899169921875,0.6452573537826538
su,0.9404635429382324,0.6293841004371643
sv,0.8985823392868042,0.8390436172485352
ta,0.816667914390564,0.6800237894058228
tt,0.8163028955459595,0.7540170550346375
te,0.9052310585975647,0.7986674308776855
tg,0.8081938624382019,0.7829930782318115
tl,0.6845673322677612,0.44683194160461426
th,0.8623441457748413,0.8052139282226562
tk,0.8345401883125305,0.445639044046402
tr,0.763495922088623,0.6610817909240723
ug,0.8688843846321106,0.8083775043487549
uk,0.7494840621948242,0.6614525318145752
ur,0.879166305065155,0.7495231628417969
vi,0.7483469247817993,0.6246265172958374
yo,0.6948439478874207,0.2357933521270752
sw,0.8636956810951233,0.7771923542022705
yi,0.8512796759605408,0.7590649724006653
